eventId_x,subEventName,tags,playerId,positions,matchId,eventName,teamId,matchPeriod,eventSec,gameweek,dateutc,wyId,label,firstName,middleName,lastName
8,Simple pass,[{'id': 1801}],25413,"[{'y': 49, 'x': 49}, {'y': 78, 'x': 31}]",2499719,Pass,1609,1H,2.7586489999999912,1,2017-08-11 18:45:00,2499719,"Arsenal - Leicester City, 4 - 3",Alexandre,,Lacazette
8,High pass,[{'id': 1801}],370224,"[{'y': 78, 'x': 31}, {'y': 75, 'x': 51}]",2499719,Pass,1609,1H,4.946850000000012,1,2017-08-11 18:45:00,2499719,"Arsenal - Leicester City, 4 - 3",Rob,,Holding
8,Head pass,[{'id': 1801}],3319,"[{'y': 75, 'x': 51}, {'y': 71, 'x': 35}]",2499719,Pass,1609,1H,6.54218800000001,1,2017-08-11 18:45:00,2499719,"Arsenal - Leicester City, 4 - 3",Mesut,,\u00d6zil
8,Head pass,[{'id': 1801}],120339,"[{'y': 71, 'x': 35}, {'y': 95, 'x': 41}]",2499719,Pass,1609,1H,8.143394999999998,1,2017-08-11 18:45:00,2499719,"Arsenal - Leicester City, 4 - 3",Mohamed Naser,,Elsayed Elneny
8,Simple pass,[{'id': 1801}],167145,"[{'y': 95, 'x': 41}, {'y': 88, 'x': 72}]",2499719,Pass,1609,1H,10.302366000000006,1,2017-08-11 18:45:00,2499719,"Arsenal - Leicester City, 4 - 3",H\u00e9ctor,,Beller\u00edn Moruno
8,Simple pass,[{'id': 1802}],3319,"[{'y': 88, 'x': 72}, {'y': 75, 'x': 77}]",2499719,Pass,1609,1H,12.548934000000003,1,2017-08-11 18:45:00,2499719,"Arsenal - Leicester City, 4 - 3",Mesut,,\u00d6zil
8,Head pass,[{'id': 1801}],8653,"[{'y': 25, 'x': 23}, {'y': 15, 'x': 39}]",2499719,Pass,1631,1H,13.961228000000006,1,2017-08-11 18:45:00,2499719,"Arsenal - Leicester City, 4 - 3",Harry ,,Maguire
1,Air duel,"[{'id': 701}, {'id': 1802}]",8013,"[{'y': 15, 'x': 39}, {'y': 20, 'x': 33}]",2499719,Duel,1631,1H,14.765321,1,2017-08-11 18:45:00,2499719,"Arsenal - Leicester City, 4 - 3",Marc,,Albrighton
1,Air duel,"[{'id': 703}, {'id': 1801}]",0,"[{'y': 85, 'x': 61}, {'y': 80, 'x': 67}]",2499719,Duel,1609,1H,14.765321,1,2017-08-11 18:45:00,2499719,"Arsenal - Leicester City, 4 - 3",NA,NA,NA
8,Head pass,"[{'id': 1401}, {'id': 1801}]",167145,"[{'y': 80, 'x': 67}, {'y': 61, 'x': 59}]",2499719,Pass,1609,1H,15.320341000000013,1,2017-08-11 18:45:00,2499719,"Arsenal - Leicester City, 4 - 3",H\u00e9ctor,,Beller\u00edn Moruno
8,Head pass,[{'id': 1801}],49876,"[{'y': 61, 'x': 59}, {'y': 45, 'x': 45}]",2499719,Pass,1609,1H,18.051874999999995,1,2017-08-11 18:45:00,2499719,"Arsenal - Leicester City, 4 - 3",Granit,,Xhaka
8,High pass,[{'id': 1801}],14869,"[{'y': 45, 'x': 45}, {'y': 54, 'x': 71}]",2499719,Pass,1609,1H,20.426526999999993,1,2017-08-11 18:45:00,2499719,"Arsenal - Leicester City, 4 - 3",Sead,,Kola\u0161inac
